id_funcionario;ano_mes;ativo_no_mes;uf;unidade;area;cargo;regime;turno;escala;dias_uteis_mes;base_horas_mes
FUNC0001;2025-01;1;PI;Filial Norte;Operações;Analista;CLT;Diurno;5x2;22;177
FUNC0001;2025-02;1;PI;Filial Norte;Operações;Analista;CLT;Diurno;5x2;23;183
FUNC0001;2025-03;1;PI;Filial Norte;Operações;Analista;CLT;Diurno;5x2;19;152
FUNC0001;2025-04;1;PI;Filial Norte;Operações;Analista;CLT;Diurno;5x2;21;167
FUNC0001;2025-05;1;PI;Filial Norte;Operações;Analista;CLT;Diurno;5x2;20;161
FUNC0001;2025-06;1;PI;Filial Norte;Operações;Analista;CLT;Diurno;5x2;21;170
FUNC0002;2025-01;1;BA;Filial Sul;Backoffice;Analista;CLT;Diurno;6x1;19;134
FUNC0002;2025-02;1;BA;Filial Sul;Backoffice;Analista;CLT;Diurno;6x1;20;141
FUNC0002;2025-03;1;BA;Filial Sul;Backoffice;Analista;CLT;Diurno;6x1;23;164
FUNC0002;2025-04;1;BA;Filial Sul;Backoffice;Analista;CLT;Diurno;6x1;21;150
FUNC0002;2025-05;1;BA;Filial Sul;Backoffice;Analista;CLT;Diurno;6x1;22;154
FUNC0002;2025-06;1;BA;Filial Sul;Backoffice;Analista;CLT;Diurno;6x1;23;161
FUNC0003;2025-01;1;PB;Matriz;Operações;Analista;CLT;Diurno;5x2;20;164
FUNC0003;2025-02;1;PB;Matriz;Operações;Analista;CLT;Diurno;5x2;20;155
FUNC0003;2025-03;1;PB;Matriz;Operações;Analista;CLT;Diurno;5x2;21;166
FUNC0003;2025-04;1;PB;Matriz;Operações;Analista;CLT;Diurno;5x2;22;174
FUNC0003;2025-05;1;PB;Matriz;Operações;Analista;CLT;Diurno;5x2;22;174
FUNC0003;2025-06;1;PB;Matriz;Operações;Analista;CLT;Diurno;5x2;19;151
FUNC0004;2025-01;1;CE;Filial Oeste;Operações;Assistente;CLT;Diurno;6x1;20;144
FUNC0004;2025-02;1;CE;Filial Oeste;Operações;Assistente;CLT;Diurno;6x1;22;159
FUNC0004;2025-03;1;CE;Filial Oeste;Operações;Assistente;CLT;Diurno;6x1;23;164
FUNC0004;2025-04;1;CE;Filial Oeste;Operações;Assistente;CLT;Diurno;6x1;19;136
FUNC0004;2025-05;1;CE;Filial Oeste;Operações;Assistente;CLT;Diurno;6x1;22;157
FUNC0004;2025-06;1;CE;Filial Oeste;Operações;Assistente;CLT;Diurno;6x1;20;144
FUNC0005;2025-01;1;CE;Filial Oeste;Atendimento;Analista;CLT;Diurno;5x2;23;184
FUNC0005;2025-02;1;CE;Filial Oeste;Atendimento;Analista;CLT;Diurno;5x2;22;171
