id_funcionario;ano_mes;ativo_no_mes;uf;unidade;area;cargo;regime;turno;escala;dias_uteis_mes;base_horas_mes
FUNC0001;2025-09;1;PI;Filial Norte;Operações;Analista;CLT;Diurno;5x2;19;152
FUNC0001;2025-09;1;PI;Filial Norte;Operações;Analista;CLT;Diurno;5x2;20;160
FUNC0002;2025-09;1;BA;Filial Sul;Backoffice;Analista;CLT;Diurno;6x1;22;176
FUNC0002;2025-09;1;BA;Filial Sul;Backoffice;Analista;CLT;Diurno;6x1;19;152
FUNC0003;2025-09;1;PB;Matriz;Operações;Analista;CLT;Diurno;5x2;20;160
FUNC0003;2025-09;1;PB;Matriz;Operações;Analista;CLT;Diurno;5x2;22;176
FUNC0004;2025-09;1;CE;Filial Oeste;Operações;Assistente;CLT;Diurno;6x1;21;168
FUNC0004;2025-09;1;CE;Filial Oeste;Operações;Assistente;CLT;Diurno;6x1;21;168
FUNC0005;2025-09;1;CE;Filial Oeste;Atendimento;Analista;CLT;Diurno;5x2;20;160
FUNC0005;2025-09;1;CE;Filial Oeste;Atendimento;Analista;CLT;Diurno;5x2;21;168
FUNC0006;2025-09;0;PE;Filial Norte;Backoffice;Especialista;CLT;Noturno;6x1;22;176
FUNC0006;2025-09;1;PE;Filial Norte;Backoffice;Especialista;CLT;Noturno;6x1;20;160
FUNC0007;2025-09;1;PB;Filial Norte;Operações;Especialista;CLT;Diurno;6x1;20;160
FUNC0007;2025-09;1;PB;Filial Norte;Operações;Especialista;CLT;Diurno;6x1;21;168
FUNC0008;2025-09;1;CE;Matriz;Operações;Coordenador;CLT;Noturno;5x2;24;192
FUNC0008;2025-09;1;CE;Matriz;Operações;Coordenador;CLT;Noturno;5x2;20;160
FUNC0009;2025-09;1;BA;Matriz;Backoffice;Analista;CLT;Noturno;6x1;24;192
FUNC0009;2025-09;1;BA;Matriz;Backoffice;Analista;CLT;Noturno;6x1;23;184
FUNC0010;2025-09;1;PB;Filial Leste;Backoffice;Especialista;CLT;Noturno;5x2;19;152
FUNC0010;2025-09;1;PB;Filial Leste;Backoffice;Especialista;CLT;Noturno;5x2;20;160
FUNC0011;2025-09;1;RN;Filial Norte;Backoffice;Analista;CLT;Diurno;5x2;22;176
FUNC0011;2025-09;1;RN;Filial Norte;Backoffice;Analista;CLT;Diurno;5x2;19;152
FUNC0012;2025-09;1;PE;Matriz;Operações;Técnico;CLT;Diurno;12x36;21;168
FUNC0012;2025-09;1;PE;Matriz;Operações;Técnico;CLT;Diurno;12x36;20;160
FUNC0013;2025-09;0;RN;Filial Sul;Operações;Assistente;CLT;Noturno;5x2;19;152
FUNC0013;2025-09;0;RN;Filial Sul;Operações;Assistente;CLT;Noturno;5x2;23;184
FUNC0014;2025-09;1;PB;Filial Norte;Engenharia;Técnico;CLT;Diurno;5x2;23;184
FUNC0014;2025-09;1;PB;Filial Norte;Engenharia;Técnico;CLT;Diurno;5x2;22;176
FUNC0015;2025-09;1;CE;Filial Norte;Backoffice;Coordenador;CLT;Diurno;5x2;24;192
